qid,subject,body,category,answer,topic,keywords
697,How to handle Exam nervousness?,Please recommend a plan for nervous during exams and forget answers.,Education,"Suggested steps: If extreme anxiety, talk to mentor/counsellor.",Exam anxiety,"mock tests, breathing, active recall, past papers, time management, mentor"
668,Exam nervousness: need guidance I tried basic steps but it didn't work.,Any simple routine for nervous during exams and forget answers that works daily?,Education,Suggested steps: Use past papers and time management.,Exam anxiety,"mock tests, breathing, active recall, past papers, time management, mentor"
64,What should I do about Storage full? I tried basic steps but it didn't work.,I tried basic steps but it didn't work. Issue: storage is full even after deleting files.,Technology,Suggested steps: Clear temporary files and app caches; empty recycle bin/trash.,Storage full,"storage, cache, temporary, duplicate, cloud, backup, offline, analyzer"
534,Morning headache — what should I do? Can you explain in simple steps?,Looking for general guidance for wake up with headache and dry mouth.,Health,Suggested steps: Reduce stress and check dehydration; see doctor if frequent.,Morning headache,"hydration, sleep, stress, caffeine, snoring, apnea, routine"
67,Need help with Storage full I need a quick solution because it's urgent.,I tried basic steps but it didn't work. Issue: storage is full even after deleting files.,Technology,Suggested steps: Remove unused apps and clear WhatsApp/Telegram media.,Storage full,"storage, cache, temporary, duplicate, cloud, backup, offline, analyzer"
622,Programming basics: need guidance It happens mostly in the evening.,My situation: confused about loops and functions in programming. Please share practical steps and resources.,Education,Suggested steps: Solve beginner coding questions regularly.,Programming basics,"loops, functions, debugging, practice, mini programs, coding"
347,UPI failed issue,Here is the problem: UPI transaction failed but money deducted. What is the safest approach to handle it?,Finance,Suggested steps: Wait 2–24 hours; many failed UPI debits auto-reverse.,UPI failed,"upi, reversal, utr, reference, bank, npci, pending, limit, dispute"
491,Is Stomach pain serious? Can you explain in simple steps?,Symptoms: pain and bloating after meals. When should I see a doctor?,Health,Suggested steps: Avoid trigger foods and eat smaller meals.,Stomach pain,"bloating, trigger foods, food diary, probiotics, hydration, gas"
761,How to handle Exam anxiety? I tried basic steps but it didn't work.,I am struggling because nervous during exams and forget answers. What method works best?,Education,Suggested steps: Use past papers and time management.,Exam anxiety,"mock tests, breathing, active recall, past papers, time management, mentor"
457,Is Stomach pain serious?,It started recently: pain and bloating after meals. Any simple remedies? I tried basic steps but it didn't work.,Health,"Suggested steps: Walk lightly after meals; don’t lie down. If it continues, consider expert help.",Stomach pain,"bloating, trigger foods, food diary, probiotics, hydration, gas"
66,How to fix Bluetooth not working? I tried basic steps but it didn't work.,This started after a recent change. Details: Bluetooth is not detecting devices. Any suggestions?,Technology,Suggested steps: Update Bluetooth drivers and OS.,Bluetooth not working,"bluetooth, pairing, drivers, device not found, services, airplane mode"
287,Budget planning issue,It happens mostly in the evening. Issue: want to track spending and save more. I tried basic steps but it didn't work.,Finance,Suggested steps: Make separate accounts for bills and savings.,Budget planning,"budget, expenses, savings, tracking, 50/30/20, goal, limits"
636,How to handle Improve concentration? Any long-term fix would be helpful.,My situation: get distracted while studying. Please share practical steps and resources. I’m not sure what to do next.,Education,Suggested steps: Use Pomodoro (25/5) and keep phone away.,Improve concentration,"pomodoro, spaced repetition, targets, distractions, focus, timetable"
68,Phone overheating on my device Any long-term fix would be helpful.,Please explain possible causes for phone gets hot while charging and how to troubleshoot.,Technology,"Suggested steps: Remove thick phone case and charge in a cool environment. If it continues, consider expert help.",Phone overheating,"overheating, charger, battery, fast charging, brightness, apps, temperature"
328,UPI failed issue,Here is the problem: UPI transaction failed but money debited. What is the safest approach to handle it? Any long-term fix would be helpful.,Finance,"Suggested steps: Check daily limits, network issues, and app updates.",UPI failed,"upi, reversal, utr, reference, bank, npci, pending, limit, dispute"
396,Loan EMI issue I need a quick solution because it's urgent.,Here is the problem: confused between shorter vs longer EMI. What is the safest approach to handle it? Any long-term fix would be helpful.,Finance,Suggested steps: Pick affordable EMI and prepay when possible.,Loan EMI,"emi, tenure, interest, prepay, calculator, payout, loan"
245,UPI failed issue,Here is the problem: UPI transfer failed but money debited. What is the safest approach to handle it? Can you explain in simple steps?,Finance,"Suggested steps: If not reversed in 24 hours, file complaint via bank/NPCI.",UPI failed,"upi, reversal, utr, reference, bank, npci, pending, limit, dispute"
378,Need advice on Salary delay I’m not sure what to do next.,This started suddenly: salary is delayed and employer not responding. What should I do first? I tried basic steps but it didn't work.,Finance,Suggested steps: Plan emergency fund to handle short delays.,Salary delay,"salary, delay, hr, payroll, escalation, policy, records"
611,How to handle Exam stress? Any long-term fix would be helpful.,Any simple routine for nervous during exams and forget answers that works daily? Can you explain in simple steps?,Education,Suggested steps: Break syllabus into small parts; repeat often.,Exam anxiety,"mock tests, breathing, active recall, past papers, time management, mentor"
527,What can cause Cold and throat cough? I tried basic steps but it didn't work.,Looking for general guidance for sore throat and cough for several days.,Health,Suggested steps: Maintain hydration and light nutrition.,Cold and cough,"cough, sore throat, steam, hydration, fever, salt water, humidifier"
659,Programming basics: need guidance Any long-term fix would be helpful.,Any simple routine for confused about loops and functions in programming that works daily? I’m not sure what to do next.,Education,"Suggested steps: Practice small problems daily and read examples. If it continues, consider expert help.",Programming basics,"loops, functions, debugging, practice, mini programs, coding"
530,Advice needed for Morning headache I need a quick solution because it's urgent.,It started recently: wake up with headache and dry mouth. Any simple remedies? Any long-term fix would be helpful.,Health,Suggested steps: Avoid screens before bed and keep regular sleep time.,Morning headache,"hydration, sleep, stress, caffeine, snoring, apnea, routine"
623,Help regarding Exam panic This started after an update.,Any simple routine for nervous during exams and forget answers that works daily? Any long-term fix would be helpful.,Education,"Suggested steps: Break syllabus into small parts; repeat often. If it continues, consider expert help.",Exam anxiety,"mock tests, breathing, active recall, past papers, time management, mentor"
722,How to handle Programming basics? This started after an update.,I am struggling because confused about loops and functions in programming. What method works best? I tried basic steps but it didn't work.,Education,"Suggested steps: Solve beginner coding questions regularly. If it continues, consider expert help.",Programming basics,"loops, functions, debugging, practice, mini programs, coding"
361,How to manage putting money in funds? I tried basic steps but it didn't work.,This started suddenly: want to start investing with small amount. What should I do first?,Finance,Suggested steps: Diversify and avoid risky tips.,Investing,"sip, index fund, etf, diversify, compounding, risk, long term"
